"Part No.","Part description","Group number","Group name","In stock","Available","Expected, available","Reorder point","Vendor number","Vendor name","Vendor part no.","Lead time","Price per UoM","Subtotal","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"VLPE-136","Spacer Nylon Tapped M3x9mm","AG00005.3","Electrical",0,0,0,6,,,,,,,,,"$8.13",,,,"'-","'-",,
"VLPF-057","STICKER VACUUM GAUGE FACE","AG00004.1","Vaclift",0,0,0,2,"V00319","EXPRESS SIGNS AND DESIGNS",,15,2,4,"LABELS ARE MADE ON A SHEET WITH APPROX 8 PER SHEET",,,,,,,,,
"VLPA-188","SURFACE GARD 32MM BLACK ROUND PLASTIC INTERNAL CHAIR TIP","AG00004.1","Vaclift",0,0,0,10,"V00030","BUNNINGS",4050097,1,0.75,7.5,,,,,,,,,,
"VLPE-052","Switch system off/on 22mm rotary N/O","AG00005.3","Electrical",0,0,0,20,"V00013","www.faryuan.com","XB5-AD21",0,260,5200,,,"$2 moq x60",,,,"'-","'-",,
"P2512","Term block 2way 5.08 line (compressor)","AG00005.3","Electrical",10,10,0,20,"V00042","ALTRONICS",,,0.48,4.8,,,"$1.36",,,,"www.techbrands.com","'-",,
"VLPE-109","Term block 4 way 5mm pitch for actuator board","AG00005.3","Electrical",0,0,0,5,"V00042","ALTRONICS","P2026A",10,0.6,3,,,".58c",,,,"'-","'-",,
"P2520","Term block line plugable 10 way 5.08","AG00005.3","Electrical",8,4,0,10,"V00042","ALTRONICS",,,2.43,14.58,,,"$2.43",,,,"'-","'-",,
"VLPE-135","Term Block PCB 36 way (cut down) 5mm pitch","AG00005.3","Electrical",0,0,0,2,,,,,,,,,"$7.24",,,,"'-","'-",,
"VLPE-099","Term line skt 3way screw Dinkle (on/off switch)","AG00005.3","Electrical",0,0,0,15,,,,,,,,,"$1.73",,,,"www.altronics.com.au","'-",,
"VLPE-027","Terminal strip (12 way) 5A","AG00005.3","Electrical",0,0,0,10,,,,,,,,,"77c","Altronics",,,"Electus","'-","HM3194",
"VLPA-006","Tilt control W/lever air valve","AG00005.2","Air System",0,0,0,10,"V00033","KYPC","K4H230C-08 or  4HA230C-08",0,7.47,74.7,,,"$7.47",,,,"www.keplerautomation.com","'-",,
"VLPH-006KIT","VACLIFT HYD HOSE KIT 450MM L HOSE","AG00004.1","Vaclift",0,0,0,2,"V00171","TAIPAN PTY LTD","VLPH-006KIT",15,56.5,113,,,,,,,,,,
"VLPH-007KIT","VACLIFT HYD HOSE KIT 800MM L HOSE","AG00004.1","Vaclift",0,0,0,2,"V00171","TAIPAN PTY LTD","VLPH-007KIT",15,65.5,131,,,,,,,,,,
"VLPA-082","Vent Brass 1/4 BSPP","AG00005.2","Air System",18,18,0,25,"V00060","NINGBO KEPLER AUTOMATION CO., LTD (NINGBO SHIMAOTONG INTERNATIONAL",,30,2.2,15.4,,,,,,,,,,
"VLPA-084","Vent Brass 1/8 BSPP","AG00005.2","Air System",16,12,0,25,"V00060","NINGBO KEPLER AUTOMATION CO., LTD (NINGBO SHIMAOTONG INTERNATIONAL",,30,2.2,28.6,,,,,,,,,,
"VLPA-075","VENT VALVE LARGE TO SUIT CVL","AG00005.2","Air System",0,0,0,1,"V00060","NINGBO KEPLER AUTOMATION CO., LTD (NINGBO SHIMAOTONG INTERNATIONAL","MSV98322-EB",30,1.5,1.5,,,,,,,,,,
"VLPF-038","WARNING LABEL PADS IN USE-VALVES OPEN 193X18MM RED/SILVER","AG00008","LABELS",0,0,0,10,"V00319","EXPRESS SIGNS AND DESIGNS",,10,5,50,,,,,,,,,,
