"Part No.","Part description","Group number","Group name","In stock","Available","Expected, available","Reorder point","Vendor number","Vendor name","Vendor part no.","Lead time","Price per UoM","Subtotal","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"M16 HH BOLT 30MM L GRADE 4.6 ZP","M16 HH BOLT 30MM L GRADE 4.6 ZP","AG00004.1","Vaclift",23,21,0,50,"V00128","BUILD IT FASTENERS",,1,2.2,63.8,,,,,,,,,,
"M16 HH BOLT 45MM L GRADE 4.6 ZP","M16 HH BOLT 45MM L GRADE 4.6 ZP","AG00004.1","Vaclift",0,0,0,50,"V00128","BUILD IT FASTENERS",,1,2.2,110,,,,,,,,,,
"M16 HH BOLT 55MM L GRADE 4.6 ZP","M16 HH BOLT 55MM L GRADE 4.6 ZP","AG00004.1","Vaclift",0,0,0,50,"V00128","BUILD IT FASTENERS",,1,2.2,110,,,,,,,,,,
"M16 HH BOLT 70MM L GRADE 4.6 ZP","M16 HH BOLT 70MM L GRADE 4.6 ZP","AG00004.1","Vaclift",0,0,0,50,"V00128","BUILD IT FASTENERS",,1,2.2,110,,,,,,,,,,
"M20 HH BOLT 70MM L GRADE 4.6 ZP","M20 HH BOLT 70MM L GRADE 4.6 ZP","AG00004.1","Vaclift",0,0,0,50,"V00128","BUILD IT FASTENERS",,1,2.2,110,,,,,,,,,,
"M20 PLAIN NUT ZP","M20 PLAIN NUT ZP","AG00007","Fastener",20,20,0,50,"V00128","BUILD IT FASTENERS",,0,2.2,66,,,,,,,,,,
"M24 PLAIN NUT ZP","M24 PLAIN NUT ZP","AG00007","Fastener",2,2,0,50,"V00128","BUILD IT FASTENERS",,,0.875,42,,,0.875,,,,,,,
"M3 FLAT WASHER ZP","M3 FLAT WASHER ZP","AG00004.1","Vaclift",0,0,0,30,"V00128","BUILD IT FASTENERS",,5,0.1,3,,,,,,,,,,
"M5 FLAT WASHER ZP","M5 FLAT WASHER ZP","AG00007","Fastener",0,0,0,50,"V00128","BUILD IT FASTENERS",,5,0.2,10,,,,,,,,,,
"M5 NUTSERT ZP","M5 NUTSERT ZP","AG00007","Fastener",0,0,0,50,"V00128","BUILD IT FASTENERS",,2,0.01,0.5,,,,,,,,,,
"M6  Cuphead Bolt x 20mm L ZP","M6  Cuphead Bolt x 20mm L ZP","AG00007","Fastener",222,94,1,100,"V00128","BUILD IT FASTENERS",,5,0.059,0.295,,,,,,,,,,
"M6 FURNITURE NUT HEX SOCKET ZP","M6 FURNITURE NUT HEX SOCKET ZP","AG00007","Fastener",0,0,0,50,"V00128","BUILD IT FASTENERS",,5,0.01,0.5,,,,,,,,,,
"M6 HH Bolt 100 mm L GRADE 4.6 ZP","M6 HH Bolt 100 mm L GRADE 4.6 ZP","AG00007","Fastener",0,0,0,5,"V00128","BUILD IT FASTENERS",,3,3,15,,,,,,,,,,
"M6 HH bolt 10mm L GRADE 4.6 ZP","M6 HH bolt 10mm L GRADE 4.6 ZP","AG00004.1","Vaclift",0,0,0,50,"V00128","BUILD IT FASTENERS",,5,0.5,25,,,,,,,,,,
"M6 LOWHCS 20 mm L GRADE 8.8 ZP","M6 LOWHCS 20 mm L GRADE 8.8 ZP","AG00007","Fastener",0,0,0,5,"V00128","BUILD IT FASTENERS",,3,3,15,,,,,,,,,,
"M6 Plane Nut ZP","M6 Plane Nut ZP","AG00007","Fastener",52,20,0,100,"V00128","BUILD IT FASTENERS",,5,0.2,16,,,0.50,,,,,,,
"M6 PLAIN NUT ZP","M6 Plane Nut ZP","AG00007","Fastener",0,0,0,50,"V00128","BUILD IT FASTENERS",,5,0.2,10,,,0.5,,,,,,,
"M6 Spring Washer ZP","M6 Spring Washer ZP","AG00007","Fastener",0,0,0,100,"V00128","BUILD IT FASTENERS",,5,0.06,6,,,,,,,,,,
"M8 CS SET SCREW 35MM L ZP","M8 CS SET SCREW 35MM L ZP","AG00007","Fastener",0,0,0,50,"V00128","BUILD IT FASTENERS",,2,1,50,,,,,,,,,,
"M8 HH Bolt 50mm L GRADE 4.6 ZP","M8 HH Bolt 50mm L GRADE 4.6 ZP","AG00004.1","Vaclift",0,0,0,50,"V00128","BUILD IT FASTENERS",,1,1.25,62.5,,,,,,,,,,
"M8 PLAIN NUT ZP","M8 PLAIN NUT ZP","AG00007","Fastener",0,0,0,50,"V00128","BUILD IT FASTENERS",,5,0.5,25,,,,,,,,,,
"VLPA-081","Nitto Type Male Air Hose Fitting 1 quarter BSP","AG00005.2","Air System",15,15,0,25,"V00293","HOSE SUPPLIERS AUSTRALIA",,,4.3,43,,,3.00,,,,,,,
"VLPE-186","NPN lace pin blue H2405","AG00004.1","Vaclift",0.001,0.001,0,10,"V00042","ALTRONICS","H2405",15,42500,424957.5,,,,,,,,,,
"VLPE-187","NPN W2270 red wire 18AWG heavy duty (REEL)","AG00004.1","Vaclift",0.01,0.01,0,1,"V00042","ALTRONICS","W2270",10,1,0.99,,,,,,,,,,
"VLPE-053","Nut set locking (for VLPE-009 connector)","AG00005.3","Electrical",0,0,0,20,,,,,,,,,"$2.61 pk10",,,,"Jaycar","'-",,
