"Number","Part No.","Part description","Free text","Vendor part no.","Group number","Group name","Quantity","Lot","Total","Tax","Total including tax","Unit cost","Currency","Total (in currency)","Tax (in currency)","Total including tax (in currency)","Unit cost (in currency)","Status","Product status","Created by","Created","Expected date","Arrival date","Order ID","Order date","Invoice ID","Invoice date","Due date","Shipped on","Delay","Vendor number","Vendor name","PO free text","B.W.E. Job ID","PO Emailed","Attention","NOTES","ACCOUNT","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"PO00500","A0001061","POWDER COAT PARTS AS SUPPLIED","65 X 1000",,,,3,"L02180",3,0.3,3.3,1,"$",3,0.3,3.3,1,"New PO","Requested","David C","27/07/2026","27/07/2026",,,,,,,,9,"V00122","GOLD COAST ELECTROPLATING",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00500","A0001061","POWDER COAT PARTS AS SUPPLIED","65 X 1200 SPREADERS",,,,4,"L02179",4,0.4,4.4,1,"$",4,0.4,4.4,1,"New PO","Requested","David C","27/07/2026","27/07/2026",,,,,,,,9,"V00122","GOLD COAST ELECTROPLATING",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00500","A0001061","POWDER COAT PARTS AS SUPPLIED","65 X 1500 SPREADERS",,,,6,"L02178",6,0.6,6.6,1,"$",6,0.6,6.6,1,"New PO","Requested","David C","27/07/2026","27/07/2026",,,,,,,,9,"V00122","GOLD COAST ELECTROPLATING",,"STOCK","Y","JOHN Mc",,,,,,,,,,,,
"PO00499","A0001054","12MM 316 STAINLESS STEEL","1200X2400",,,,2.88,"L02176",0,0,0,0,"AUD",0,0,0,0,"Ordered","Planned","David C","24/07/2026","27/07/2026",,,"28/07/2026",,,"31/07/2026",,9,"V00313","Dalsteel Metals",,"STOCK","Y","DERRYN F",,,,,,,,,,,,
"PO00499","FREIGHT","FREIGHT",,,,,1,"L02177",0,0,0,0,"AUD",0,0,0,0,"Ordered","Planned","David C","24/07/2026","27/07/2026",,,"28/07/2026",,,"31/07/2026",,9,"V00313","Dalsteel Metals",,"STOCK","Y","DERRYN F",,,,,,,,,,,,
"PO00498","A0000943","ELECTROPOLISH - SOUTHERN STAINLESS","HIVAC PAD MOUNTS",,,,39,"L02175",39,3.9,42.9,1,"$",39,3.9,42.9,1,"New PO","Requested","David C","23/07/2026","30/07/2026",,,,,,,,6,"V00279","SOUTHERN STAINLESS",,"STOCK","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00498","A0000943","ELECTROPOLISH - SOUTHERN STAINLESS","SIGN TOKO",,,,1,"L02181",1,0.1,1.1,1,"$",1,0.1,1.1,1,"New PO","Requested","David C","23/07/2026","03/08/2026",,,,,,,,2,"V00279","SOUTHERN STAINLESS",,"STOCK","Y","JOHN Mc",,"Y",,,,,,,,,,
"PO00497","A011111111","MATERIAL AS DESCRIBED","1/2 INCH ROUND FREE MACHINING BRASS X 3.6M LONG",,,,2,"L02172",144,14.4,158.4,72,"$",144,14.4,158.4,72,"New PO","Requested","David C","22/07/2026","22/07/2026",,,,,,,,14,"V00224","BRASS & COPPER PTY LTD","BWE TO ORGANISE TRANSPORT","STOCK","Y","STEPHEN P",,,,,,,,,,,,
"PO00497","A011111111","MATERIAL AS DESCRIBED","3/16 INCH ROUND BRASS 3.6M LONG",,,,1,"L02173",19.2,1.92,21.12,19.2,"$",19.2,1.92,21.12,19.2,"New PO","Requested","David C","22/07/2026","22/07/2026",,,,,,,,14,"V00224","BRASS & COPPER PTY LTD","BWE TO ORGANISE TRANSPORT","STOCK","Y","STEPHEN P",,,,,,,,,,,,
"PO00497","A011111111","MATERIAL AS DESCRIBED","3/8 INCH ROUND COPPER 3.6M LONG",,,,1,"L02174",29.5,2.95,32.45,29.5,"$",29.5,2.95,32.45,29.5,"New PO","Requested","David C","22/07/2026","22/07/2026",,,,,,,,14,"V00224","BRASS & COPPER PTY LTD","BWE TO ORGANISE TRANSPORT","STOCK","Y","STEPHEN P",,,,,,,,,,,,
